Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,4,0,150,17,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 24,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,1,170,9,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 66,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,0,478,30,2,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 67,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,30,40,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 68,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,1,24,30,2,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 55,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,4,1,80,31,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 69,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,3,35,6,1,RIO VISTA,8015783.871,30,53.44895453413155,-113.4371288,Gateway Stake 70,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,0,142,20,1,LEE RIDGE,28618500.0,120,53.47232073,-113.4502878,Gateway Stake 71,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,1,205,34,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 25,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,235,21,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 56,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,4,166,32,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 72,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,200,20,3,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 57,2
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,0,225,30,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 58,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,0,24,1,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 59,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,2,100,50,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 73,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,0,30,20,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 74,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,3,2,204,26,2,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 26,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,0,239,24,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 75,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,95,15,2,RABBIT HILL,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 27,0
Bearspaw Chapel,Whitemud Creek YSA Ward,YSA Stake,2,0,153,8,1,WHITEMUD CREEK YSA,12339825.0,30,53.46078142044812,-113.4762213,YSA Stake 4,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,2,108,15,1,SOUTHGATE,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 60,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,0,143,43,1,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 76,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,3,4,160,35,1,FOREST HEIGHTS,837500.0,90,53.55056740256592,-113.4548124,Bonnie Doon Stake 61,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,265,30,2,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 77,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,3,260,32,1,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 78,0
